dataset,n_epochs,reg_type,weight_type,alpha,lr,verbose,full_score,partial_score
Parkinson,300,l1,None,0.5,0.01,False,0.9487179517745972,0.9370629408142783 +- 0.016809095853409728
Parkinson,300,l1,None,0.5,0.01,False,0.8717948794364929,0.8682983761483972 +- 0.008799340309167307
Parkinson,300,l1,None,0.5,0.1,False,0.8717948794364929,0.8449883542277596 +- 0.025024369783004534
Parkinson,300,l1,None,0.5,0.1,False,0.7692307829856873,0.7692307829856873 +- 0.0
Parkinson,300,l1,None,0.5,0.001,False,0.9487179517745972,0.9289044331420552 +- 0.01323754780258965
Parkinson,300,l1,None,0.5,0.001,False,0.9487179517745972,0.9475524506785653 +- 0.01635858742543956
Parkinson,300,l1,None,0.5,0.01,False,0.9230769276618958,0.9195804243738 +- 0.01939780417840821
Parkinson,300,l1,None,0.5,0.01,False,0.8717948794364929,0.8706293783404611 +- 0.005340996995120098
Parkinson,300,l1,None,0.5,0.1,False,0.8461538553237915,0.8648018728603016 +- 0.011419531919730594
Parkinson,300,l1,None,0.5,0.1,False,0.8717948794364929,0.8578088662841103 +- 0.014925696633512594
Parkinson,300,l1,None,0.5,0.001,False,0.8717948794364929,0.8671328750523654 +- 0.009889604741813973
Parkinson,300,l1,None,0.5,0.001,False,0.8717948794364929,0.8729603805325248 +- 0.012168188679044043
Parkinson,300,l1,None,0.5,0.01,False,0.8717948794364929,0.8682983761483972 +- 0.008799340309167309
Parkinson,300,l1,None,0.5,0.01,False,0.8717948794364929,0.8694638772444292 +- 0.007371276157766767
Parkinson,300,l1,None,0.5,0.1,False,0.8205128312110901,0.8286713388833132 +- 0.011942832348710651
Parkinson,300,l1,None,0.5,0.1,False,0.8974359035491943,0.9172494221817363 +- 0.026704984975600483
Parkinson,300,l1,None,1,0.001,False,0.9230769276618958,0.9335664375261827 +- 0.022749673814110586
Parkinson,300,l1,None,1,0.001,False,0.8974359035491943,0.8881118947809393 +- 0.014557104023700494
Parkinson,300,l1,None,1,0.01,False,0.9743589758872986,0.9335664375261827 +- 0.02857261058628986
Parkinson,300,l1,None,1,0.01,False,0.8717948794364929,0.8706293783404611 +- 0.005340996995120098
Parkinson,300,l1,None,1,0.1,False,0.7692307829856873,0.7692307829856873 +- 0.0
Parkinson,300,l1,None,1,0.1,False,0.7692307829856873,0.7599067742174322 +- 0.012334504211494285
Parkinson,300,l1,None,1,0.001,False,0.8717948794364929,0.8706293783404611 +- 0.005340996995120098
Parkinson,300,l1,None,1,0.001,False,0.8974359035491943,0.8916083980690349 +- 0.010745389169889527
Parkinson,300,l1,None,1,0.01,False,0.8717948794364929,0.8636363717642698 +- 0.017942661306222386
Parkinson,300,l1,None,1,0.01,False,0.9487179517745972,0.9265734309499915 +- 0.02480628832771518
Parkinson,300,l1,None,1,0.1,False,0.8461538553237915,0.8484848575158552 +- 0.015285403574471345
Parkinson,300,l1,None,1,0.1,False,0.8717948794364929,0.8519813608039509 +- 0.017168903245483667
Parkinson,300,l1,None,1,0.001,False,0.8974359035491943,0.9079254134134813 +- 0.016687436142036965
